City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,tegina,10.0706,6.1906,68.5,98,87,4.03,NG,1693884611
272,mangrol,21.1167,70.1167,83.71,68,75,7.2,IN,1693884611
273,wynyard,-41.0,145.7167,43.99,82,64,14.72,AU,1693884342
274,east ballina,-28.8667,153.5833,84.79,48,1,13.24,AU,1693884611
275,talnakh,69.4865,88.3972,46.51,60,27,2.93,RU,1693884611
276,udachny,66.4167,112.4,37.54,65,96,17.63,RU,1693884611
277,nadym,65.5333,72.5167,50.23,55,31,4.68,RU,1693884612
278,yermentau,51.6214,73.1069,48.65,84,100,10.07,KZ,1693884612
279,labytnangi,66.6572,66.4183,53.19,62,31,7.0,RU,1693884612
280,san luis potosi,22.5,-100.5,64.76,86,8,7.36,MX,1693884480
281,sos'va,59.1766,61.8558,50.49,66,0,5.12,RU,1693884613
282,huarmey,-10.0681,-78.1522,66.85,83,85,11.54,PE,1693884613
283,afaahiti,-17.75,-149.2833,76.87,90,100,20.6,PF,1693884613
284,pirallahi,40.4723,50.333,75.34,60,0,5.01,AZ,1693884613
285,guaruja,-23.9931,-46.2564,80.89,26,100,3.0,BR,1693884613
286,pandan,14.0453,124.1694,87.31,69,99,3.06,PH,1693884613
287,alofi,-19.0595,-169.9187,80.49,61,75,8.05,NU,1693884614
288,sinabang,2.4803,96.3801,77.09,92,100,4.03,ID,1693884614
289,riosucio,5.4216,-75.7032,57.0,97,87,1.07,CO,1693884614
290,langsa,4.4683,97.9683,83.41,80,100,4.85,ID,1693884614
291,tafuna,-14.3358,-170.72,85.95,74,40,14.97,AS,1693884614
292,urangan,-25.3,152.9,70.74,72,0,14.2,AU,1693884615
293,oruro,-17.9833,-67.15,41.97,58,88,1.99,BO,1693884615
294,hadibu,12.65,54.0333,79.61,81,58,12.01,YE,1693884615
295,namibe,-15.1961,12.1522,60.22,87,4,4.43,AO,1693884615
296,vosendorf,48.1211,16.3404,58.59,84,0,1.14,AT,1693884616
297,northam,51.0333,-4.2167,64.26,86,0,12.19,GB,1693884616
298,novo aripuana,-5.1206,-60.3797,73.99,43,2,2.08,BR,1693884616
299,arawa,-6.2132,155.5367,85.1,73,7,5.66,PG,1693884616
300,punta alta,-38.8759,-62.0736,41.07,74,86,8.9,AR,1693884616
301,idri,27.5,13.2667,76.77,39,3,4.54,LY,1693884616
302,gorontalo,0.5412,123.0595,87.06,60,98,10.74,ID,1693884617
303,harstad,68.799,16.5293,49.39,91,65,18.99,NO,1693884617
304,mogilno,52.6581,17.9558,61.2,78,6,5.23,PL,1693884617
305,mawlaik,23.6333,94.4167,93.56,54,0,0.83,MM,1693884617
306,belel,7.05,14.4333,59.94,99,100,2.82,CM,1693884617
307,mount pleasant,32.7941,-79.8626,78.98,87,0,3.0,US,1693884594
308,chirilagua,13.2203,-88.1386,73.08,95,64,3.18,SV,1693884618
309,howrah,22.5892,88.3103,77.0,94,100,0.0,IN,1693884618
310,chegdomyn,51.1167,133.0167,53.67,85,100,1.36,RU,1693884619
311,grand-bourg,15.8835,-61.3148,78.75,68,1,13.73,GP,1693884619
312,daru,-9.0763,143.2092,80.35,70,93,12.88,PG,1693884619
313,greymouth,-42.4667,171.2,54.12,91,100,6.29,NZ,1693884619
314,nagqu,31.5,92.0,54.34,44,9,7.31,CN,1693884619
315,igarka,67.4667,86.5833,47.75,63,10,8.66,RU,1693884619
316,idfu,24.9803,32.8747,84.04,28,0,6.69,EG,1693884620
